listing_id,available_date,available,price,minimum_nights,maximum_nights
5113279,10/22/2020,f,500,1,1125
4991727,10/22/2020,f,699,2,1125
5116645,10/24/2020,f,150,2,1125
4154464,10/20/2020,f,89,2,30
4994857,10/20/2020,f,250,2,30
5116729,10/20/2020,f,60,2,5
4998371,10/20/2020,f,99,15,35
5122138,10/20/2020,f,200,3,1125
4156208,10/22/2020,f,750,83,1125
5001074,10/20/2020,f,98,3,180
5122450,10/22/2020,f,175,3,1125
5122828,10/20/2020,f,3200,1,1125
5006191,10/22/2020,f,350,1,30
5123540,10/20/2020,f,895,3,7
5006217,10/20/2020,t,400,1,1125
4163685,10/20/2020,f,80,1,1125
5124417,10/20/2020,f,200,3,21
5007355,10/20/2020,f,61,1,60
5126439,10/22/2020,f,500,1,12
5011681,10/22/2020,f,130,3,1125
4164084,10/20/2020,f,99,2,90
5126932,10/20/2020,t,69,1,1125
5013929,10/24/2020,f,499,3,7
4164781,10/20/2020,t,99,2,1125
5132083,10/20/2020,f,85,28,28
5018747,10/20/2020,t,600,3,11
5136870,10/20/2020,f,900,4,18
5020354,10/22/2020,t,179,,
4171527,10/24/2020,f,250,2,1125
5148991,10/20/2020,f,175,3,1125
5153200,10/20/2020,f,199,2,1125
5021987,10/20/2020,f,125,4,1125
5154179,10/20/2020,f,40,1,1125
5022086,10/20/2020,f,500,4,30
4171708,10/20/2020,f,90,1,1125
5024067,10/23/2020,f,95,2,1125
5162827,10/20/2020,f,375,3,14
5028301,10/20/2020,f,225,1,1125
5164038,10/20/2020,f,45,5,1125
4171932,10/20/2020,f,98,2,14
5031470,10/22/2020,f,275,2,1125
5169702,10/20/2020,f,50,1,80
4172577,10/20/2020,f,150,3,30
5037417,10/20/2020,f,347,30,1125
5037508,10/21/2020,f,65,1,1125
5172784,10/20/2020,f,450,2,1125
4174180,10/20/2020,f,125,7,28
5173181,10/20/2020,t,79,2,180
5179186,10/21/2020,t,130,1,14
5046776,10/20/2020,t,2100,2,30
4174762,10/22/2020,f,538,2,365
5047200,10/20/2020,f,436,2,1125
5192062,10/22/2020,f,450,3,1125
4174892,10/24/2020,f,368,1,365
5047878,10/20/2020,f,545,1,1125
5194094,10/22/2020,f,700,1,1125
5194948,10/22/2020,f,110,30,1125
4179345,10/22/2020,f,300,,
5049688,10/20/2020,f,200,2,1125
5195335,10/22/2020,f,60,,
5050692,10/20/2020,t,105,2,1125
5051186,10/20/2020,f,600,2,1125
5195484,10/20/2020,f,304,2,1125
4182298,10/24/2020,f,250,1,1125
5200329,10/20/2020,f,75,2,30
5060912,10/22/2020,t,386,2,1125
5067130,10/22/2020,f,190,,
5200720,10/24/2020,f,550,1,1125
5077502,10/22/2020,f,169,,
5205243,10/20/2020,f,140,2,14
5205396,10/20/2020,f,110,2,1125
5078787,10/20/2020,f,175,2,23
5081777,10/20/2020,f,50,1,1125
5083004,10/22/2020,f,95,1,1125
4184049,10/20/2020,f,156,2,30
5211169,10/20/2020,t,30,99,99
5083889,10/22/2020,f,299,2,1125
5217975,10/20/2020,f,325,2,7
5372075,10/20/2020,f,67,1,14
5221313,10/20/2020,f,300,2,1125
5372230,10/22/2020,f,400,1,1125
4186778,10/22/2020,t,291,1,365
5221542,10/24/2020,f,406,3,1125
